Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,Environment
G107,18.0046,17.3618,19.1174,18.3456,15.8575,19.1027,18.1273,16.2359,15.4141,18.5644,16.6509,17.8059,17.8944,17.7614,16.6093,17.0012,18.4286,16.5323,17.2839,17.2988,18.8584,18.4388,16.8918,16.8908,16.7818,17.5935,17.9124,18.6535,17.7369,17.643,18.4669,17.8812,18.0174,16.6111,19.284,16.4115,18.5397,17.4564,16.6912,17.5206,19.5279,18.8517,15.4452,20.0188,19.0575,16.9243,18.6191,19.0292,17.702,17.5045,16.1696,19.0286,17.7891,18.8539,19.0069,18.5018,17.7704,17.8186,19.195,19.5362,Environment_1
G108,17.8016,17.2769,19.3164,17.9757,18.8623,17.6661,18.6548,19.953,19.6147,16.6634,16.5551,18.5624,18.3415,18.3412,18.3953,20.8087,18.9045,18.0601,18.4198,18.4352,20.0298,17.4398,17.3583,17.4842,17.1151,18.078,17.6509,17.5762,17.1088,17.1505,20.2995,16.5359,18.4791,18.0091,18.1251,17.7418,19.944,17.5511,15.756,17.5292,17.8044,17.0768,17.1243,16.0213,18.0566,15.8342,20.2916,18.876,19.5266,17.7995,17.6936,18.8535,18.9978,16.6461,17.4217,18.3956,18.8867,17.5618,18.2223,17.9574,Environment_1
G109,15.0535,16.193,14.8305,18.1609,15.4634,16.7799,16.7312,15.8105,17.0292,15.5504,16.3383,15.694,16.028,16.6408,14.6736,15.6693,16.0351,16.1763,15.3203,16.2115,16.0079,16.6075,15.9514,16.6632,14.8872,16.2411,15.2936,17.0208,16.4742,17.1824,17.1699,18.2662,14.9887,14.209,14.963,16.9473,16.4424,16.7066,16.0323,13.8624,16.0313,16.1789,15.8762,15.5304,16.6597,15.9161,14.6274,16.3548,16.4945,14.4957,15.7327,16.7107,15.3155,15.0027,16.3391,14.9684,15.6666,14.6431,14.6888,15.1093,Environment_1
G110,18.2799,18.2863,17.6974,17.5775,17.8,17.4518,18.1219,18.416,18.0716,17.3787,17.3082,17.1422,17.1588,18.6999,17.6229,18.5844,18.6719,16.8369,18.7333,18.0608,15.7711,20.1232,18.506,18.5617,17.6367,19.2299,17.2435,16.5309,17.0464,18.279,16.7291,16.8699,18.6444,18.0247,16.9116,16.5604,18.6553,19.9074,19.117,19.5832,17.0481,17.393,17.351,18.4682,18.6329,17.1027,17.4755,18.5709,16.81,17.0206,19.1698,18.4427,17.1583,18.5815,17.6315,19.2881,17.3439,18.8601,16.779,18.8566,Environment_1
G111,21.0656,18.4957,19.2124,20.8069,18.5856,17.4982,19.6844,18.1453,19.1425,19.8775,18.9558,18.7308,18.3637,19.1808,17.6976,18.4594,18.8275,18.0969,18.427,17.3268,20.3591,18.6583,19.1324,19.0959,15.4493,17.9216,16.9392,18.9288,18.8565,18.7856,18.2003,18.7272,20.0704,19.2441,19.7864,18.0758,18.8884,18.8187,19.1245,17.5744,19.4577,20.1758,18.4215,17.9696,19.2014,19.5905,17.9299,18.4835,17.9889,18.4082,18.4715,19.4368,19.8274,19.6288,17.4245,19.7752,18.1558,20.1252,18.887,19.2474,Environment_1
G112,19.1013,18.4591,20.1323,18.2242,19.9838,18.5178,18.9458,19.5805,19.3031,17.0151,18.8556,18.8783,18.678,19.3602,19.1792,18.5963,20.3728,19.1222,18.4843,18.6012,17.1543,19.9591,17.4784,19.4974,18.8178,19.7976,17.1517,19.0115,18.5177,18.8594,18.2056,19.5538,18.9624,17.4884,21.8349,18.6956,19.2916,18.1997,19.5378,19.012,17.4266,18.7695,20.0101,19.4279,19.7386,16.5914,19.0437,16.767,21.124,17.1802,19.401,19.465,18.3015,19.0847,18.3709,19.9276,17.8164,20.2976,19.63,17.0393,Environment_1
G113,19.0954,18.9156,18.5769,18.2781,18.1049,18.7253,18.4995,17.4358,17.5378,18.1095,19.7957,18.3508,17.5356,19.1315,18.5434,18.0755,19.125,17.4999,19.0486,18.9199,19.2634,20.7279,20.2175,16.7262,17.837,19.5247,18.9348,18.382,17.5581,19.1504,18.3235,18.0929,18.0373,18.39,17.8767,18.8355,19.9281,18.7124,19.5082,21.8136,20.7425,19.0501,17.2135,19.2878,19.4942,18.2167,19.779,18.6741,17.8724,18.1635,17.5223,20.1232,18.116,19.021,19.2391,17.6076,18.7642,19.846,18.1013,16.8095,Environment_1
G114,18.8663,18.306,19.4159,20.0516,19.2118,19.0868,18.8539,18.8879,19.9539,17.8348,19.1244,18.1531,20.0936,16.943,18.6106,20.4388,20.1236,18.8486,20.4767,18.2686,18.4589,21.2521,19.7434,19.2608,18.2307,21.2762,18.6481,18.7458,19.2235,18.4883,18.5276,19.0252,18.1337,19.9815,19.7516,19.1032,20.2868,19.7771,20.0449,19.2032,19.1809,19.7665,18.4482,21.416,19.4241,20.0558,19.8914,19.1015,19.3871,19.0507,19.9116,20.3693,18.7823,17.9718,19.0831,18.3967,16.8966,18.2651,17.5664,19.1639,Environment_1
G115,17.9274,17.5315,18.6391,18.5411,16.7741,18.3615,19.1053,18.5974,17.0654,17.7874,18.9548,19.5349,17.4398,16.4893,17.9464,17.4065,18.3904,19.7467,18.5628,17.5006,17.5254,20.3428,18.6342,19.2314,18.5288,18.5116,18.6243,19.0182,17.2304,18.2391,16.1392,17.9125,18.4466,17.4816,17.3455,16.8769,18.6371,18.8505,16.4077,18.4721,16.0771,16.9842,15.8867,19.2343,18.9462,19.6279,16.7772,16.9482,16.6198,17.6693,16.1365,17.8324,20.3255,17.8354,18.9751,17.9703,18.1666,16.4489,19.3379,18.3539,Environment_1
G116,16.5735,18.4612,21.2999,18.6455,17.8104,16.7315,17.788,18.5245,17.6326,18.4057,21.0833,17.5001,18.1801,19.2086,16.8513,17.6706,20.5952,18.2557,18.1864,19.1568,19.8326,19.35,17.788,18.8357,19.391,19.3407,19.9727,20.4929,17.176,20.4663,18.0658,18.0505,19.0171,18.244,20.0346,18.7563,17.4936,18.299,18.2364,16.1721,18.7954,19.4988,19.039,18.5205,16.7094,17.6125,18.6044,18.2578,17.8429,17.5206,18.4181,18.8876,20.6137,20.7633,18.0605,18.3014,19.1912,18.8286,15.1083,17.5457,Environment_1
G117,18.0971,18.2886,17.6577,18.0888,16.6413,17.808,17.5339,18.2299,18.5931,17.2025,16.982,17.777,17.8137,15.6597,16.8422,18.1613,16.6099,19.1574,19.2808,14.8867,16.792,17.1442,18.5687,17.016,16.0621,17.5064,17.5503,15.9036,18.3758,16.6058,18.8688,18.2951,18.4955,18.4611,17.7215,16.9607,17.9645,16.7452,19.5558,17.0913,17.7158,16.7721,19.3422,17.982,16.6757,18.9584,18.2899,18.1255,16.0896,16.735,17.8151,17.7947,17.3709,18.8059,18.4626,18.9074,16.9188,18.3307,18.8676,18.6804,Environment_1
G118,17.58,19.1082,16.3804,17.8272,20.0072,17.9298,16.8755,19.6224,17.8792,18.2362,17.9145,17.5769,18.1484,16.7386,17.3953,17.7842,19.4009,16.077,17.2349,17.5468,18.5225,18.7053,18.5634,17.8632,18.5998,19.3648,18.3746,16.9988,17.6948,19.4145,19.2541,17.3873,17.5958,17.6037,18.6032,19.6307,17.2457,18.3865,17.1428,19.0111,17.2877,16.573,17.9576,18.0908,18.5718,17.298,18.4153,19.0037,17.2448,18.5775,19.287,17.0931,18.4275,19.5857,17.6842,18.3419,18.5841,19.3352,19.8613,18.9539,Environment_1
G119,22.0174,22.2467,18.6417,20.0681,20.5829,19.7193,18.0757,19.7053,20.0996,20.2233,20.0065,20.2821,21.1788,21.4306,20.9141,21.108,19.9683,19.9862,21.3118,20.5806,20.5703,21.6838,19.7082,21.6684,19.3488,21.2365,19.9216,21.1305,21.5758,19.7369,22.155,20.1275,21.0719,20.6864,21.8309,20.6687,20.0153,21.4269,19.3174,19.6101,20.3255,19.5868,20.0731,20.8481,19.4907,21.3166,21.4877,20.0166,21.6349,20.8626,21.7721,21.1843,20.345,20.2145,19.3146,21.1651,20.8478,20.2193,20.3897,21.8331,Environment_1
G120,20.2114,20.1462,19.2951,21.4094,19.7936,20.5905,17.52,20.5495,21.0652,20.0328,19.7984,19.121,20.561,17.73,19.1351,18.9092,21.3297,20.2694,18.5966,19.9527,19.2427,18.8697,20.2597,20.3918,19.8355,20.0046,21.0832,19.8973,19.4457,18.3379,19.202,19.825,19.5539,19.4653,21.1003,18.1086,18.8156,19.3988,20.056,20.8908,20.0228,19.208,20.1289,19.7366,20.3247,20.5206,18.0534,19.5895,20.0136,19.9364,18.1062,19.0595,17.1662,18.8769,20.1254,20.4655,19.0991,19.9249,18.1778,19.5053,Environment_1
G1,57.3906,59.0588,56.2789,57.8543,58.1864,57.5036,57.8589,55.9916,57.2082,59.7163,57.1279,57.2003,58.2705,58.2085,56.8759,57.993,57.0963,58.0973,55.8501,56.669,56.56,58.5482,58.5949,57.5613,57.6281,58.7526,57.5841,59.1992,59.3229,58.5275,57.1932,56.9069,57.7103,55.7157,59.3981,58.7721,56.9504,58.116,59.8072,56.6229,57.7055,59.5566,57.8199,58.8802,56.9575,58.204,57.2429,57.1494,58.0153,59.4212,57.9884,57.0017,57.6346,57.1221,56.6998,56.5558,57.6365,57.6848,57.2598,59.1698,Environment_2
G2,56.395,57.0245,55.3561,56.7202,55.1939,57.9013,57.003,56.0754,58.2582,53.7114,56.5291,56.9923,55.7281,57.0029,57.1603,55.7044,56.7107,57.2028,56.961,56.5928,58.3549,57.4029,54.219,55.9985,56.9759,57.6986,56.6198,56.5349,54.198,57.6838,55.1703,56.8217,55.6393,55.5491,57.4389,58.1944,56.5778,56.6517,57.0278,57.1312,57.1281,56.7076,57.4991,55.8511,57.0751,58.0436,56.4441,56.471,57.4393,58.5842,57.7259,56.4103,56.3244,57.5697,57.1464,55.987,56.4936,55.1133,55.8205,57.4713,Environment_2
G3,59.1111,58.7724,58.1198,56.8651,58.8403,59.4428,58.7872,57.7743,57.8357,57.0573,56.8331,59.4029,58.3656,58.0055,59.1435,58.0453,57.721,58.6006,57.2396,58.2617,58.9616,59.6726,58.0172,57.2413,59.639,60.453,57.4249,58.0935,56.9916,57.4256,58.5524,57.6358,57.1818,58.9221,58.1048,57.8722,58.2961,56.8983,57.9481,59.9301,56.5322,57.3121,59.3083,57.6043,58.1815,58.2472,58.6611,57.8167,56.75,58.3129,59.11,58.4246,57.1739,57.5724,58.0184,57.4132,58.7883,57.2688,57.2459,58.0301,Environment_2
G4,56.586,56.0388,56.4095,57.5923,55.4927,56.4601,56.2739,57.5972,56.2654,56.7073,55.0716,57.5507,57.5674,58.1605,55.7285,56.4905,56.0314,56.1857,58.7365,54.6244,55.7608,56.8166,57.5946,57.1881,56.7628,55.9652,56.0593,55.8403,57.86,55.4637,56.411,56.9353,54.8042,55.1417,56.9187,57.2191,56.6697,55.2802,55.3161,56.4193,56.7599,56.7612,55.4997,56.282,57.6602,57.1542,58.0123,56.9452,56.7895,56.1524,57.4395,55.8669,54.2801,56.4628,54.7717,56.2409,56.8519,55.6475,56.2611,55.1204,Environment_2
G5,56.2764,57.0169,58.6546,58.2426,56.4907,58.7454,56.7279,56.9786,56.7451,55.8696,57.8589,56.1758,56.9411,58.2679,57.0182,56.5264,57.2161,56.8702,57.4477,59.0853,57.5999,56.9334,57.9701,58.4074,55.7107,56.5948,58.0481,56.5262,55.0888,57.372,57.621,59.0251,57.5572,56.4142,57.8655,56.9651,55.495,57.08,56.1658,55.6139,58.6461,57.6212,57.4117,56.8918,55.0761,57.7973,57.6167,56.1991,57.4585,57.9825,57.1777,58.1731,57.5737,58.0213,58.8092,56.6253,57.5497,57.4246,58.8614,58.0072,Environment_2
G6,57.7621,58.8276,58.5802,58.3426,57.1679,58.4427,57.5939,57.0561,57.7293,58.5163,57.9577,58.6155,57.4379,56.9823,58.0779,59.5727,57.9214,57.6069,58.2288,57.8933,57.702,56.0634,59.1778,57.0265,55.9652,58.9478,56.5636,56.269,58.8204,57.556,56.8342,57.5505,57.7437,58.4429,57.1225,58.8091,57.6038,57.2824,57.3369,56.4736,57.8959,55.9248,56.4151,57.7044,57.4005,58.6605,56.7666,59.0213,58.02,56.7894,58.118,58.0072,57.568,58.0094,56.61,58.7814,58.7582,56.7945,57.8188,58.6868,Environment_2
G7,58.5362,58.5825,58.4128,56.8728,58.347,56.9426,57.0896,58.0916,57.5391,59.0387,59.8856,57.5205,60.4323,57.862,58.5135,58.3794,57.9235,58.6782,57.9522,57.9792,59.0876,58.1836,57.9825,57.8483,59.0659,57.7303,57.444,58.8477,58.1594,57.0983,60.0761,60.1503,58.0583,57.4923,56.7669,59.2209,57.7462,57.5204,58.521,57.7024,56.8867,58.7003,58.8072,56.7107,58.8018,59.7339,57.7684,59.566,58.8961,58.172,57.7492,55.9121,58.2904,57.8328,58.0764,57.7744,58.6412,59.1733,58.1157,58.4856,Environment_2
G8,58.7897,58.761,57.5494,58.9385,56.7857,57.7895,59.0345,57.4561,59.103,59.1434,58.4602,57.8991,57.7697,57.9166,57.6249,59.5204,58.056,58.02,58.4425,58.2839,58.3944,57.4233,58.1495,57.3771,59.1721,56.7089,59.0729,58.0694,59.7966,58.3338,58.249,57.3564,59.1923,59.8922,57.3563,56.9681,59.8327,57.8869,58.4426,59.6215,59.1943,56.6559,57.606,59.3169,59.513,58.6791,58.1043,59.8701,58.9538,59.0881,58.4628,59.2562,57.2925,58.7672,57.972,58.3064,58.0583,57.3959,57.8372,58.0573,Environment_2
G9,59.6275,58.3313,60.1967,58.9423,57.4248,57.8317,58.8337,57.4467,58.4222,60.1448,58.8104,59.5784,58.2314,58.6748,58.7783,59.0583,60.6611,58.1924,58.8979,57.4006,57.9933,57.6025,58.7782,59.6478,58.4124,56.6868,59.5159,57.934,59.1054,56.7645,58.8726,58.6935,58.7665,57.6386,57.3828,57.9713,58.291,59.1213,58.2385,58.607,58.1075,56.8185,59.8978,59.8861,59.8921,59.0521,60.4519,59.6978,59.6475,58.0095,58.158,58.9374,57.7048,58.5615,58.3193,59.4234,58.8846,59.9571,58.5155,59.5549,Environment_2
G10,56.6523,57.439,56.1877,56.0971,56.3779,56.1959,57.3181,56.368,55.9081,57.3974,55.2565,58.5459,56.6975,57.4301,57.9798,57.3914,56.5794,56.2897,57.9209,57.1026,56.8742,56.2205,55.8858,56.5181,58.0536,55.9267,56.4776,57.546,56.8644,56.4708,55.8807,58.3889,57.4402,58.0082,56.2724,57.0669,56.1294,55.6205,57.0162,57.7829,57.7589,56.4486,55.6212,56.4953,56.9509,55.7503,58.1937,56.0927,57.9456,56.8273,57.6456,56.27,56.0568,57.1355,57.1667,59.0297,57.4788,57.6746,58.5128,54.727,Environment_2
G11,55.6992,55.2078,55.7315,56.3431,54.1661,55.5524,56.1024,56.2383,56.6412,57.5811,56.1031,54.2572,56.5596,55.8252,57.4121,56.0371,55.9519,56.553,56.4645,54.8913,56.2461,56.4499,55.759,55.6398,56.374,57.5332,58.8561,55.869,57.2427,56.1749,56.034,58.673,55.6592,55.8828,56.1158,55.8176,55.8052,57.0039,57.4053,55.7684,56.3345,55.1172,57.0189,57.7036,55.4438,55.4698,56.3065,55.8142,56.4971,57.4631,55.6898,57.7492,55.7439,55.0813,55.9776,57.7865,56.7532,57.5738,56.6797,55.6895,Environment_2
G12,55.1266,57.1063,57.6273,57.7414,56.1789,57.0909,56.605,57.2487,54.7,57.5143,56.9905,57.0367,57.1972,57.274,58.2569,57.8366,56.9742,56.9225,57.5903,56.4616,57.5383,57.5819,57.8321,57.4076,56.8797,57.3192,58.8622,59.4172,58.7676,56.9616,57.5885,55.6415,58.0772,58.8884,56.094,57.2646,57.4956,57.0886,56.758,58.48,55.8434,57.1401,57.371,55.8976,58.4198,56.9911,57.4171,57.8502,57.9833,57.9706,57.3451,56.8426,57.7752,57.2213,57.7695,58.1932,56.7312,58.2707,57.5735,60.4153,Environment_2
G13,57.577,58.8502,57.819,58.8312,58.258,57.6965,59.9432,58.0145,59.3578,59.2669,59.0135,57.8495,56.0864,58.3901,59.5741,56.5804,57.5855,58.3853,57.4603,58.8257,59.2835,58.651,57.0639,58.7036,59.8216,58.857,59.08,58.8449,57.7104,58.9245,59.0498,57.1405,56.8997,59.8771,58.7982,56.9468,58.2341,57.3257,57.5097,58.7631,57.1323,56.858,58.4144,58.8609,59.5723,57.5004,59.2811,57.6296,57.9711,59.8198,60.8664,59.1266,57.4193,59.6799,56.7421,56.791,59.9455,59.1331,57.9489,59.8461,Environment_2
G14,57.2859,57.6855,57.6191,55.6725,57.1886,59.4762,55.6968,58.0781,57.499,56.6715,57.8541,57.8668,59.5314,56.5154,56.4057,57.7754,58.633,59.0177,57.7172,56.7559,57.9273,56.6396,56.9504,57.5376,56.0721,59.1687,57.3948,57.8386,56.8741,58.3368,57.1951,56.1079,58.0615,58.7004,58.691,57.4349,57.1776,56.7411,58.6163,57.3571,55.8413,57.18,58.9362,56.8284,58.5753,55.6551,58.6445,58.8149,56.7828,58.4227,58.5282,58.4696,57.0722,57.1229,57.7502,57.3263,56.6012,58.0911,56.1223,56.4922,Environment_2
G15,55.8307,55.6717,58.5478,57.4871,57.4793,55.4325,57.9299,56.8154,57.2837,54.0109,56.1354,58.0459,55.7832,56.7792,55.9776,57.7664,55.3204,58.5756,55.0193,57.5311,57.307,56.7412,56.5221,55.7997,56.2995,58.0778,57.0964,56.192,57.0901,57.5628,57.441,58.2364,57.5757,56.4745,55.9152,57.2454,55.3004,55.4816,58.3754,55.316,56.5879,56.9833,56.6362,56.0296,56.6125,56.7668,57.8221,55.8589,57.2133,58.2955,55.5272,57.1311,55.6476,55.761,56.2123,56.2888,56.6363,56.9836,57.4001,56.2204,Environment_2
G16,58.0112,57.1206,59.0843,56.0544,58.7401,58.6151,58.4499,56.3735,60.0318,58.133,58.622,57.3929,57.6016,56.8182,58.3182,58.4496,59.8739,57.421,59.7507,58.9111,57.0794,57.6903,57.3637,58.8442,58.4317,57.9309,57.5452,58.3857,58.8437,58.8109,57.2688,58.9943,58.044,57.6234,57.878,58.7226,58.416,59.3355,57.4444,57.7466,56.2536,56.6666,57.8656,58.3067,58.7288,57.1644,56.6971,59.7582,58.779,58.3935,57.6108,57.0983,57.6073,57.5971,58.0722,58.12,57.2055,59.0114,59.6073,58.0648,Environment_2
G17,55.7586,56.5261,56.5947,56.1306,57.7822,57.6668,56.2511,54.2603,57.0653,56.2285,55.1744,57.4233,54.6016,56.4962,57.6334,56.9952,56.1867,55.7738,55.4818,56.0673,58.8611,56.5514,58.1639,56.7633,57.1768,57.661,56.9166,57.503,55.3266,55.7514,56.8039,56.7722,56.5175,56.8782,55.7284,57.296,56.773,57.0237,55.2878,57.7985,56.0621,56.4333,56.4588,55.3315,56.9023,56.7941,56.7322,58.1106,56.165,55.2982,55.9869,56.6706,57.1431,55.2155,55.8583,56.8286,56.0763,57.7905,56.1183,57.3087,Environment_2
G18,56.3997,57.4564,55.1163,56.9982,53.7436,56.9975,57.0489,56.08,55.9197,54.8926,57.5754,58.2181,56.443,56.2777,56.9514,54.949,57.0055,57.8744,55.5819,55.2128,55.8882,55.8378,55.531,57.0683,56.0685,57.6031,56.4973,56.0274,56.1578,56.6045,58.0031,55.9833,56.6742,56.1532,55.8503,55.8679,55.1996,56.5941,57.6722,55.9684,56.1653,58.7799,56.4681,55.831,57.8234,55.5549,56.7606,54.9132,56.3284,58.7709,55.5256,57.1632,56.0379,56.4109,57.3435,55.5545,56.2268,55.7482,56.1362,57.62,Environment_2
G19,56.7265,57.5775,59.7132,56.759,58.8525,58.1432,56.8466,57.1547,58.2034,57.2025,58.2001,56.362,57.2908,57.5714,56.8676,57.7179,57.1621,58.4655,58.5782,57.8508,58.3471,57.6519,57.4439,57.3681,58.2834,56.9659,57.582,57.4134,55.9249,57.2481,58.4986,57.5453,56.9656,56.9346,56.9168,57.2132,57.8259,56.1303,56.3524,56.5241,57.304,58.748,57.457,58.0012,55.6269,58.7297,58.0661,57.0035,57.4964,57.5707,57.6889,55.905,57.0813,58.0486,57.7507,57.5887,56.4079,59.4761,57.2752,56.8247,Environment_2
G20,56.8053,58.8141,58.1405,58.3942,57.9229,59.0298,58.347,58.7625,58.2857,59.3395,58.6977,59.3266,57.5051,59.1653,58.0609,57.666,58.7437,57.3241,58.8369,57.2181,59.1816,58.6542,57.4171,58.3138,59.0418,58.1085,57.0633,57.1062,57.8515,57.9863,58.5674,58.54,58.4048,59.7209,57.5209,58.4426,58.4193,58.0622,58.1634,57.3398,57.9994,56.8338,58.6012,57.286,59.1759,57.51,58.8538,59.2453,58.6657,60.0071,58.4477,56.839,58.0232,58.5474,58.3093,59.4619,58.518,59.2288,58.0961,58.6538,Environment_2
G21,56.7585,55.2269,57.172,57.8613,56.1765,56.0211,55.869,55.6804,56.3933,57.1947,56.7539,56.6694,58.6387,57.9288,58.2007,58.7991,57.7908,54.2368,58.3464,56.9142,55.9981,56.3074,56.9013,56.5282,56.3509,56.8267,57.0711,55.3401,57.0441,58.6375,57.3533,55.5618,55.4507,57.634,56.4517,55.7259,56.8001,57.3692,58.1521,57.6776,57.8523,56.9163,57.5447,55.3796,56.8668,54.9937,55.5329,58.0583,57.8635,57.5237,56.5805,56.0619,57.5739,58.7688,55.2751,58.3104,56.5783,56.9516,55.3793,57.7819,Environment_2
G22,56.4437,57.9208,56.1893,58.4899,56.4845,57.2796,54.8236,56.647,58.1165,60.3692,56.8253,56.9392,57.7399,56.4943,57.3865,56.7207,59.0411,58.0867,58.2739,59.1183,58.3458,57.7495,58.0365,56.7239,56.0849,57.4295,58.3099,55.4497,57.1599,56.8649,58.3079,57.3491,57.8259,57.494,56.914,58.6966,56.0859,58.999,56.8783,57.2919,57.6646,58.9207,57.4817,56.2887,57.7837,57.7704,56.5628,56.5065,55.9795,57.5985,57.7524,57.2865,56.6313,57.5566,60.7965,57.9658,57.4623,56.4913,55.8745,56.7844,Environment_2
G23,58.4199,56.6538,57.0479,57.7608,58.1713,58.5125,57.4036,56.821,58.784,57.0841,57.1147,58.4763,58.1588,56.63,58.1517,58.1361,56.94,57.2401,57.8501,58.483,58.7959,58.9937,56.5554,57.2062,56.5952,57.4031,58.9787,59.0744,58.0342,58.0585,56.2721,57.8759,58.5307,56.5527,57.3958,57.7003,57.4243,57.7728,59.3558,56.0138,59.8001,56.7455,56.9766,58.2166,58.683,58.2213,57.8466,56.4875,58.0232,57.589,58.5682,56.4213,56.4292,57.8882,58.4336,57.657,58.1231,56.2252,57.693,56.0486,Environment_2
G24,58.8253,58.5398,57.2552,57.7656,58.4366,59.7229,58.3273,56.8943,58.1145,58.7191,58.443,58.3725,58.0252,56.8832,59.5398,58.8438,58.6769,58.4289,57.3775,58.9538,58.5642,58.0957,57.5067,59.5961,59.5001,59.7403,58.9529,58.6015,59.992,56.9474,56.845,59.3269,58.4468,58.754,57.3935,59.6466,58.6944,59.4412,56.6064,58.3011,60.0419,58.2365,58.3727,58.6172,58.0915,59.7257,59.4853,58.7981,58.9937,58.2592,56.7411,57.7016,58.1944,58.6094,58.8639,59.5301,58.6886,59.5952,59.5827,58.059,Environment_2
G25,57.8208,58.3374,56.8875,57.2044,59.1875,57.8099,57.6375,57.5129,58.679,59.1413,57.7772,59.2392,56.177,58.3783,59.0037,58.4924,58.0101,58.8219,58.2211,57.6144,58.8963,57.9015,57.8405,58.8071,58.4277,57.9425,57.8912,58.0334,57.8993,56.9006,59.4637,58.4169,58.3193,58.8776,58.7296,56.6883,58.2437,56.3527,59.9009,57.7905,57.3313,58.432,58.7602,57.3127,57.8957,57.1053,56.5749,57.7072,59.6276,59.2136,56.2659,57.5579,56.3596,57.7698,57.5378,57.4008,59.3404,59.374,57.3254,58.3963,Environment_2
G26,59.5047,59.1051,56.7434,59.0547,57.1961,58.4152,58.4963,56.3664,56.7512,57.8063,59.0258,58.2719,59.8941,58.2673,58.1784,58.9383,58.4179,57.6496,57.2486,57.1269,57.4929,58.9045,58.2741,59.3576,57.6561,58.4497,57.0452,57.9254,58.7344,58.6618,57.5245,57.9805,58.6474,59.2164,57.7773,57.409,58.5995,56.8549,58.8411,56.7544,57.7352,59.0434,57.2459,57.1892,57.5905,57.6714,57.053,56.5446,55.8842,58.9269,58.7088,58.6239,57.3089,56.7361,59.6879,56.9532,59.6354,58.5421,57.349,57.9832,Environment_2
G27,59.1086,56.1828,57.9108,58.3301,58.3208,58.1606,57.9319,55.6568,58.6266,57.4348,56.949,58.9279,58.1115,57.9787,57.6743,57.2478,55.6111,56.7526,55.7869,56.8761,59.0875,58.2599,57.638,58.6016,57.606,57.3205,57.3688,57.9457,57.2475,57.5183,58.3963,57.8705,59.0497,57.1935,56.498,57.8641,58.1104,58.767,56.9337,58.7846,56.5233,58.0617,56.8193,58.2571,57.4723,57.5407,56.6662,57.3294,56.5448,57.1379,57.6058,57.6691,57.3083,59.0273,58.5078,56.0528,57.137,55.891,57.9656,56.8112,Environment_2
G28,57.19,56.3273,56.2738,55.9346,57.2258,59.256,56.5516,58.1202,58.6475,57.092,57.7703,57.4824,58.2352,58.7982,58.3935,58.39,59.1696,57.3291,57.4271,58.1746,58.0585,58.7234,57.795,58.0985,57.5684,57.4106,57.7176,58.7464,59.5103,59.1889,56.5365,58.6591,56.8031,57.525,56.2359,59.7105,58.3564,58.3132,56.9878,56.1931,57.5451,58.7185,54.6874,58.5696,56.1022,59.3923,55.7479,57.8357,58.8233,58.1213,57.7282,58.7838,56.9683,57.1805,58.7709,57.7701,57.39,58.9256,58.502,56.8398,Environment_2
G29,59.5006,55.395,56.5621,57.22,57.2194,57.9432,55.5968,56.9376,56.435,57.0187,57.2932,58.592,58.4946,58.4626,55.7696,58.7782,59.4423,56.7797,57.7824,59.1759,57.3998,57.3069,58.4255,58.3031,56.5176,58.4431,58.4831,58.2201,55.2654,57.6005,56.2068,57.3111,57.1811,59.3368,57.9853,57.2485,56.3708,58.1147,56.472,57.0333,56.7618,56.4777,55.8205,57.9555,58.4285,56.8877,58.4003,60.1675,55.8874,56.7331,57.3901,56.7722,57.9503,57.4013,56.8009,56.3518,57.3802,58.0489,56.5991,56.7816,Environment_2
G30,56.0122,55.8789,57.0656,57.5713,57.358,55.7722,55.8412,57.4924,56.2082,57.7715,55.9402,57.1092,57.4271,58.1288,58.8184,56.4714,57.6584,56.7281,56.0927,56.5958,57.3772,56.3221,57.6189,56.5596,58.2606,56.9608,57.9982,58.03,57.6768,57.2765,55.5255,58.7525,56.3315,57.0173,56.2989,58.6794,57.6895,58.3074,56.2268,58.0725,56.9185,56.6732,58.3471,58.4545,58.9949,57.4654,56.4465,57.0254,58.5087,56.8553,55.1284,56.2369,56.6977,57.2649,57.4999,58.8675,58.2533,57.1901,56.3086,58.4858,Environment_2
G31,58.5815,56.3772,58.034,56.8346,58.4017,58.5798,58.5605,58.5466,59.2892,58.6442,60.2111,57.1515,59.1266,58.4083,56.5299,56.6938,58.3568,60.323,57.728,57.2218,58.3022,58.0905,58.2581,56.7863,58.0162,59.8126,58.7661,58.7515,57.7821,57.5029,58.0247,59.1799,56.4248,57.5828,58.4949,55.6194,57.2059,57.0452,55.6931,58.358,59.3279,57.2842,59.7962,57.9917,59.3017,57.6196,56.7984,58.0279,58.9982,59.4175,58.8229,57.6707,58.6307,58.0357,58.0081,58.3279,58.1958,59.5423,54.6529,57.0701,Environment_2
