Genotype,L118,L120,L121,L150,L152,L153,L154,L155,L156,L157,L159,L160,L161,L163,L165,L166,L17,L18,L19,L21,L30,L32,L34,L36,L37,L39,L43,L44,L46,L89,L90,Environment
G29,35.0021,33.7684,39.0861,44.1957,34.2103,42.8295,43.9037,48.2132,41.1318,41.7635,39.354,46.7661,33.6674,36.7673,36.875,40.8334,40.7997,50.0054,49.8631,38.3191,35.2583,43.2411,41.27,35.132,36.4334,33.7743,41.5787,38.5405,40.4341,48.2545,37.4887,Environment_3
G3,21.7956,31.9192,38.532,44.7726,29.9992,41.0301,44.0461,50.1193,44.499,41.1309,37.7677,42.193,34.8868,37.1031,39.9336,44.6544,40.691,52.1795,51.7299,41.8145,33.9511,47.2395,40.7882,38.8305,37.9164,30.7775,34.577,47.3899,38.9059,42.3317,41.9577,Environment_3
G30,29.1991,33.1494,37.1381,43.8875,32.6227,42.1544,43.9274,45.4893,39.7025,39.7101,37.9855,43.6385,35.363,46.3081,38.5835,45.1543,36.7739,52.3516,51.013,42.83,34.0131,44.1004,39.8832,38.2025,38.7956,36.0266,39.9607,43.0194,39.4027,46.8626,34.1062,Environment_3
G31,28.8387,29.3398,37.8096,45.8389,33.4315,43.9416,44.0223,45.8355,42.6776,41.7683,41.35,40.9978,33.7498,41.1169,42.0349,45.5451,38.5063,48.7727,50.6645,42.0388,38.7098,45.5956,39.593,38.1721,39.0427,39.2222,43.5368,45.2789,40.0366,45.9183,37.8826,Environment_3
G32,33.4746,30.5212,37.7892,41.2661,30.4056,42.6885,43.9511,48.8058,40.3154,40.1713,35.1642,40.6653,33.4651,39.8276,40.0107,43.6548,41.7456,48.094,49.582,36.4007,32.485,43.158,39.1843,40.4607,35.2814,37.1747,36.3655,40.5095,35.2662,47.8403,40.6368,Environment_3
G33,28.176,32.44,38.516,40.9677,36.1605,41.4686,47.2056,46.3829,44.9005,41.5582,38.9355,43.281,34.0998,42.3417,38.7636,49.694,44.7384,54.6761,53.9623,44.0239,29.4191,47.0507,38.5006,31.656,39.0659,37.8842,37.8875,44.2744,39.5209,45.4797,37.6812,Environment_3
G34,31.8209,29.7141,40.9598,39.0625,27.8901,41.4839,34.6389,46.3362,38.2669,39.7453,40.4444,43.1934,34.3028,32.2207,36.1886,47.4491,36.0512,45.4819,46.5814,38.1529,38.861,47.4653,40.1913,38.0102,31.363,33.5195,32.9101,38.4016,37.587,47.5183,31.9206,Environment_3
G35,30.7095,32.9592,38.9881,46.6221,33.7894,45.2555,44.0223,48.3168,43.9296,41.442,44.9486,48.6728,33.7832,35.444,39.1837,47.8319,39.3323,52.5429,52.3301,41.4815,38.5384,44.6461,40.0102,37.9578,37.5457,37.5544,39.2317,42.0875,41.197,48.3614,37.7333,Environment_3
G36,28.3476,31.7755,38.1811,50.1246,32.7574,42.9237,40.8154,52.7255,42.0008,40.7397,36.7321,47.7208,35.033,37.9581,36.091,42.4788,45.5477,52.3664,54.1288,43.7305,30.1332,44.7259,39.9682,35.2083,35.2422,33.6156,46.9487,44.4683,35.653,47.4875,40.5976,Environment_3
G37,32.6287,32.8712,37.732,46.2592,31.0649,41.2726,44.0698,50.2508,43.1366,43.4318,40.1114,42.8891,34.4918,37.6358,35.6279,41.8546,44.2288,55.3816,53.8839,41.5937,34.9066,47.0507,39.2845,40.7497,38.7915,36.1752,41.4152,44.1843,42.8731,47.6356,37.838,Environment_3
G38,29.1869,32.2227,37.8241,40.9048,31.8098,44.3845,47.1818,49.08,40.3836,40.784,39.2685,42.0175,33.9109,42.4706,39.3244,40.3937,41.3427,52.7725,49.8347,41.759,32.9815,44.3295,40.5832,37.4615,38.144,35.4793,39.5736,45.8294,39.7788,49.6741,37.5257,Environment_3
G39,29.9362,32.5539,37.8096,46.7013,37.3512,46.607,47.1581,50.5391,45.735,39.6439,40.1741,42.1737,34.5337,41.4392,41.251,46.329,42.7396,55.3186,53.0947,44.1946,30.8705,45.2036,39.201,37.6233,39.9834,37.0115,42.3608,47.5523,41.8416,48.0742,36.6283,Environment_3
G4,25.726,32.1599,39.2955,44.041,27.3652,40.8353,40.8391,46.4261,33.1215,39.7769,32.7578,45.7802,35.386,40.5197,35.9496,43.548,32.72,46.366,47.8252,35.1965,28.5102,42.4501,39.2036,37.4346,34.2334,31.756,33.2853,43.1262,32.4594,44.528,41.8506,Environment_3
G40,30.7566,33.2728,37.0283,48.582,38.101,45.9218,40.8866,48.3168,41.3034,42.3474,41.8129,43.1852,34.1752,46.4675,35.656,41.1684,38.7052,52.1118,51.1542,39.6392,35.4027,45.0381,39.2263,36.7427,36.409,38.5108,42.7594,43.8474,44.0335,47.8127,38.0861,Environment_3
G41,34.9236,34.0836,40.249,47.695,34.6397,42.58,43.9986,45.1876,41.4449,42.3465,39.0639,46.8762,33.2636,36.7617,37.0354,40.0347,37.0756,51.2843,49.9594,37.9497,31.5557,42.4831,37.9572,41.5737,37.4028,37.3446,36.6987,40.9256,40.7558,47.9657,37.3452,Environment_3
G42,35.091,34.1095,39.4625,45.5791,31.1461,41.1485,47.1344,48.2445,36.7436,41.3872,37.817,43.1209,34.0141,40.3717,41.4544,39.3158,36.8376,48.69,50.3712,37.8015,32.5111,41.8647,38.3239,36.6923,36.5872,37.178,31.2045,45.1479,41.1426,48.1488,37.6905,Environment_3
G43,34.3961,31.8416,37.8742,38.1449,28.1202,39.0331,43.9274,47.2951,39.9865,40.676,39.8626,44.7483,34.5133,43.3371,40.6061,40.9532,35.4908,48.4816,48.9359,38.7485,31.7738,43.3468,40.267,38.5498,34.8641,34.0173,32.2646,45.9131,38.9508,46.6214,37.3874,Environment_3
G44,22.8096,31.92,39.0501,47.7481,32.4318,41.2673,47.0631,49.6469,42.7303,40.4918,39.4706,47.492,34.1214,38.3088,41.782,42.5211,38.7049,48.7952,53.0908,41.845,32.5577,44.5227,39.4831,37.0995,36.8631,33.7037,42.4558,44.3844,39.2086,47.7973,41.1503,Environment_3
G45,31.6154,32.1238,40.249,43.3833,31.504,41.1297,43.9986,48.4109,39.5634,40.128,39.4558,44.1324,34.4395,42.4346,40.1711,41.9946,37.154,49.9124,48.3523,38.0673,39.3951,43.659,40.701,38.5947,35.5606,33.1583,36.6987,41.3489,38.9508,46.3978,37.502,Environment_3
G46,32.8365,35.4245,40.2609,42.2128,34.228,43.6296,47.1581,54.2328,41.505,41.6063,45.1428,47.2763,32.9993,45.0776,34.8242,49.4512,46.3375,53.6305,53.03,44.3028,34.2302,46.0862,40.0981,36.6089,35.8453,36.3984,45.2719,42.8135,42.0451,47.9457,41.0965,Environment_3
G47,28.0512,31.9537,37.8946,37.5829,33.1059,44.833,40.8629,47.4606,40.6633,40.0898,38.601,44.6888,34.7981,45.5289,36.7508,47.1552,42.0116,48.5724,49.5481,39.2909,34.8629,41.0807,39.4998,41.0824,34.9802,35.0457,34.7322,44.4227,40.6269,46.189,40.5911,Environment_3
G48,29.5365,32.8197,37.0331,35.8474,30.3474,43.9279,40.9103,45.1876,39.6328,38.3079,38.5383,41.8764,35.1481,42.6924,39.359,43.4647,37.6213,48.8314,48.9655,39.6298,38.899,44.8877,38.7994,36.8397,36.5712,37.6274,40.058,41.9719,39.8533,46.0248,37.5283,Environment_3
G49,29.6933,31.6046,37.0331,39.7279,31.1313,39.3419,34.6389,45.8323,38.3393,42.4235,36.9704,47.364,33.9722,36.6972,42.4948,43.4647,34.8383,45.6565,46.8488,38.1404,33.4115,39.4001,39.5833,35.2719,32.2595,31.7165,38.8821,45.2488,37.6615,45.7112,37.6459,Environment_3
G5,29.2231,34.941,38.4544,42.5667,34.688,43.4175,44.0936,46.337,42.0575,40.7091,37.7051,44.0843,34.0609,36.4585,39.4061,34.6925,42.4155,50.0476,48.5211,37.1754,30.5399,45.5588,39.3038,37.0572,40.5657,40.2422,34.4152,43.6731,35.9405,45.2248,38.895,Environment_3
G50,34.1692,36.7964,39.477,45.9757,36.1878,47.0789,47.1581,48.7452,45.1111,41.52,43.9669,42.1807,35.3511,41.4031,41.0957,42.0038,46.1807,54.9632,54.6762,43.8324,31.4864,45.6942,39.7061,33.2772,40.1178,42.3563,43.312,47.0507,42.8187,48.9648,41.1357,Environment_3
G6,28.1174,33.5478,40.1143,44.15,32.6891,44.3343,40.9341,44.7405,39.814,40.9972,29.8067,46.3484,35.0479,37.4254,37.223,39.895,32.082,46.8896,46.3141,38.791,31.3586,42.4457,40.6026,40.3541,36.1162,35.9088,36.1013,42.4764,37.3587,50.2031,38.5043,Environment_3
G7,28.804,33.7615,38.532,41.4408,26.8634,36.6792,40.9103,43.4558,37.4044,41.0055,34.24,42.193,34.8868,41.0999,36.7978,48.9661,33.0477,46.0648,43.3418,34.7199,31.9913,39.4001,40.7882,38.0857,32.3896,33.537,36.1448,39.872,35.2958,49.3871,38.9004,Environment_3
G8,21.0067,34.3549,37.7276,47.4903,36.7725,46.754,40.8391,45.2502,40.2945,43.2693,39.4213,45.3883,34.2101,45.548,36.7335,41.1962,38.8347,55.4989,50.8826,40.2921,32.8218,47.1538,40.3795,38.3753,40.7401,39.9089,36.029,50.7656,39.9373,52.7593,40.9883,Environment_3
G9,32.3525,36.7929,41.6703,46.1437,33.8848,44.1078,44.0461,49.5603,41.7529,42.8154,44.8941,44.3805,36.4881,45.7414,38.6503,36.7501,38.5772,52.6572,51.7885,42.5507,35.7395,48.2499,40.8135,35.8333,39.124,36.855,45.1667,47.8713,44.7077,49.9879,41.1813,Environment_3
